participant_id,session_id,condition,total_session_duration_ms,num_disengagement_events,num_resumed_events,reengagement_success_rate,median_resume_latency_ms,mean_resume_latency_ms,effective_focused_time_ms,effective_focused_time_ratio,num_nonverbal_only_success,num_voice_escalations,num_voice_success,num_highlight_events
wen,session_20260409_wen_58e9d8,with_system,343750.9,9,9,1.0,5710.0,5451.1,294690.9,0.8573,9,0,0,0
wen,session_20260409_wen_76b613,with_system,86898.2,1,0,0.0,,,38508.2,0.4431,0,0,0,0
wen,session_20260409_wen_90d39a,with_system,362000.5,9,9,1.0,5180.0,5263.3,314630.5,0.8691,9,0,0,0
wen,session_20260409_wen_94cd63,with_system,250413.1,7,7,1.0,6940.0,9762.9,182073.1,0.7271,7,0,0,0
wen,session_20260409_wen_9ec281,with_system,53611.2,1,0,0.0,,,53611.2,1.0,0,0,0,0
wen,session_20260409_wen_ae3212,with_system,169527.1,1,1,1.0,17730.0,17730.0,151797.1,0.8954,1,0,0,0
wen,session_20260409_wen_b0b4b2,with_system,311717.2,8,8,1.0,5775.0,5768.8,265567.2,0.8519,8,0,0,0
wen,session_20260409_wen_e7947e,with_system,511026.8,6,5,0.8333,5780.0,8004.0,471006.8,0.9217,5,0,0,0
wen,session_20260409_wen_f11487,with_system,143655.5,5,4,0.8,4615.0,7805.0,112435.5,0.7827,4,0,0,0
wen,session_20260409_wen_f60a59,with_system,430545.6,4,4,1.0,6480.0,14457.5,372715.6,0.8657,4,0,0,0
wen,session_20260409_wen_fc759f,with_system,10934181.5,24,24,1.0,4425.0,4580.8,10824241.5,0.9899,24,0,0,0
3,session_20260410_3_67d40b,with_system,35042.2,0,0,,,,35042.2,1.0,0,0,0,0
4,session_20260410_4_f9de1d,with_system,1948962.6,38,34,0.8947,3990.0,7350.0,1553882.6,0.7973,34,3,0,3
1,session_20260413_1_3b77bd,with_system,78891.0,0,0,,,,78891.0,1.0,0,0,0,0
5,session_20260413_5_7217d1,with_system,148487.4,0,0,,,,148487.4,1.0,0,0,0,0
5,session_20260413_5_de061e,with_system,21490.1,0,0,,,,21490.1,1.0,0,0,0,0
6,session_20260413_6_f35000,with_system,1774175.3,31,31,1.0,5150.0,4941.9,1620975.3,0.9137,25,6,6,6
wen,session_20260414_wen_3d77de,with_system,271616.1,10,9,0.9,5570.0,8878.9,191706.1,0.7058,9,0,0,0
wen,session_20260414_wen_46fc6b,with_system,197516.3,3,3,1.0,15890.0,11993.3,161536.3,0.8178,3,0,0,0
wen,session_20260414_wen_6ae906,with_system,1923619.6,30,30,1.0,5040.0,7698.0,1692679.6,0.8799,29,1,1,1
wen,session_20260414_wen_87770d,with_system,33712.5,0,0,,,,33712.5,1.0,0,0,0,0
wen,session_20260414_wen_91c7db,with_system,804911.9,21,20,0.9524,2950.0,8456.5,635781.9,0.7899,20,0,0,0
wen,session_20260414_wen_a3ed82,with_system,45505.8,0,0,,,,45505.8,1.0,0,0,0,0
wen,session_20260414_wen_e19c74,with_system,997298.5,55,54,0.9818,485.0,4944.8,730278.5,0.7323,54,1,0,1
wenfei,session_20260414_wenfei_49421b,with_system,189009.9,7,7,1.0,11130.0,10405.7,116169.9,0.6146,7,0,0,0
wenfei,session_20260414_wenfei_6566f5,with_system,25622.2,0,0,,,,25622.2,1.0,0,0,0,0
wenfei,session_20260414_wenfei_b0d0d6,with_system,180743.0,10,10,1.0,4045.0,5884.0,121903.0,0.6745,10,0,0,0
稳,session_20260414_稳_e9a391,with_system,108654.1,6,5,0.8333,4580.0,6956.0,73874.1,0.6799,5,0,0,0
纹,session_20260414_纹_7ee6e5,with_system,218559.8,8,7,0.875,20330.0,13517.1,123939.8,0.5671,7,0,0,0
MayaS,session_20260415_MayaS_3d6da2,with_system,254364.7,7,7,1.0,12980.0,20631.4,109944.7,0.4322,7,0,0,0
wenfei,session_20260415_wenfei_36fc17,with_system,631136.2,0,0,,,,631136.2,1.0,0,0,0,0
